rank,title,gross,theaters,total gross,release date,distributor,download URL
98,Serenity,"$25,514,517","$2,189","$25,514,517",Sep 30,Universal Pictures,https://www.subtitlecat.com/subs/810/Serenity.2005.2160p.4K.BluRay.x265.10bit.AAC5.1-%5BYTS.MX%5D.html
100,Memoirs of a Geisha,"$25,323,884","$1,654","$57,490,508",Dec 9,Sony Pictures Releasing,https://subtitlecat.com/subs/1233/Memoirs.of.a.Geisha.2005.1080p.BrRip.x264.YIFY.html
101,Ocean's Twelve,"$25,127,623","$3,290","$125,544,280",Dec 10,Warner Bros.,https://www.subtitlecat.com/subs/27/Oceans%20Twelve%202004.720p.BrRip.YIFY.html
102,Æon Flux,"$24,845,514","$2,608","$25,874,337",Dec 2,Paramount Pictures,https://www.subtitlecat.com/subs/271/Aeon.Flux.2005.1080p.BluRay.x265-RARBG.html
103,Rumor Has It...,"$24,739,906","$2,815","$43,000,262",Dec 25,Warner Bros.,https://www.subtitlecat.com/subs/700/Rumor%20Has%20It.%20%282005%29%20BRRip%20Xvid%20AC3-Anarchy.html
104,Unleashed,"$24,537,116","$1,962","$24,537,621",May 13,Rogue Pictures,https://www.subtitlecat.com/subs/124/Unleashed.2005.1080p.BrRip.x264.YIFY.html
105,Elektra,"$24,409,722","$3,204","$24,409,722",Jan 14,Twentieth Century Fox,https://www.subtitlecat.com/subs/88/Elektra.DIRECTORS.CUT.2005.1080p.BrRip.x264.BOKUTOX.YIFY-eng.html
106,Ice Princess,"$24,402,491","$2,501","$24,402,491",Mar 18,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/508/Ice.Princess.2005.720p1080p.WEBRip.x264.AAC-%5BYTS.MX%5D-English.html
107,Lord of War,"$24,149,632","$2,814","$24,149,632",Sep 16,Lionsgate,https://www.subtitlecat.com/subs/48/Lord.of.War.2005.1080p.BluRay.H264.AAC-RARBG.html
108,"Good Night, and Good Luck.","$23,443,621",$929,"$31,558,003",Oct 7,Warner Independent Pictures (WIP),https://subtitlecat.com/subs/582/Good.Night.and.Good.Luck.2005.1080p.BluRay.x265-RARBG.html
109,Hotel Rwanda,"$23,213,894",$824,"$23,530,892",Dec 22,United Artists,https://www.subtitlecat.com/subs/461/Hotel.Rwanda.2004.1080p.BluRay.H264.AAC-RARBG.html
110,Two for the Money,"$22,991,379","$2,397","$22,991,379",Oct 7,Universal Pictures,https://www.subtitlecat.com/subs/1232/Two.For.the.Money.2005.1080p.BrRip.x264.BOKUTOX.YIFY.html
111,National Treasure,"$22,886,909","3,243","$173,008,894",Nov 19,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/1124/National.Treasure.2004.720p.BluRay.x264.YIFY-English.html
112,Prime,"$22,827,153","$1,837","$22,827,153",Oct 28,Universal Pictures,https://www.subtitlecat.com/subs/36/Prime.2005.1080p.BluRay.x264.html
113,Deuce Bigalow: European Gigolo,"$22,400,154","3,127","$22,400,154",Aug 12,Sony Pictures Releasing,https://www.subtitlecat.com/subs/253/Deuce.Bigalow.European.Gigolo.2005.1080p.WEB-DL.DD5.1.H264-FGT.html
114,Hustle & Flow,"$22,202,809","$1,016","$22,202,809",Jul 22,Paramount Classics,https://www.subtitlecat.com/subs/439/Hustle.and.Flow.2005.720p.BluRay.x264-x0r.%5Beng%5D.html
115,Fat Albert,"$21,935,948","$2,744","$48,116,322",Dec 25,Twentieth Century Fox,https://subtitlecat.com/subs/176/Fat.Albert.2004.1080p.WEBRip.x264-RARBG.html
116,A Lot Like Love,"$21,845,719","2,502","$21,845,719",Apr 22,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/74/A.Lot.Like.Love.2005.1080p.BrRip.x264.BOKUTOX.YIFY.html
117,Land of the Dead,"$20,700,082","$2,253","$20,700,082",Jun 24,Universal Pictures,https://www.subtitlecat.com/subs/201/Land.of.the.Dead.2005.720p.BluRay.x264.YIFY.html
118,Assault on Precinct 13,"$20,043,091","2,297","$20,040,895",Jan 19,Rogue Pictures,https://www.subtitlecat.com/subs/884/Assault%20On%20Precinct%2013%202005%201080p%20BluRay%20DTS%20x264-CtrlHD.html
119,Man of the House,"$19,699,706","$2,422","$19,699,706",Feb 25,Sony Pictures Releasing,https://subtitlecat.com/subs/80/Man.of.the.House.2005.WEB-D.html
120,Valiant,"$19,478,106","2,016","$19,478,106",Aug 19,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/35/Valiant.2005.BRRip.1080p.x264.AC3-KINGDOM.html
121,Cursed,"$19,298,687","$2,805","$19,297,522",Feb 25,Dimension Films,https://www.subtitlecat.com/subs/95/Cursed%5B2005%5DDvDrip.AC3%5BEng%5D-aXXo.html
122,The Upside of Anger,"$18,763,647","$1,166","$18,761,993",Mar 11,New Line Cinema,https://subtitlecat.com/subs/124/Upside%20Of%20Anger%20Feature_EN.html
123,Into the Blue,"$18,491,661","$2,789","$18,801,234",Sep 30,Sony Pictures Releasing,https://www.subtitlecat.com/subs/755/Into%20the%20Blue%20%282005%29%20-%20Subtitle%20-%20ENglish.html
124,North Country,"$18,245,513","$2,555","$18,337,722",Oct 21,Warner Bros.,https://www.subtitlecat.com/subs/283/North.Country.2005.720p.WEBRip.x264-%5BYTS.LT%5D-English.html
125,Pooh's Heffalump Movie,"$18,098,433","2,529","$18,098,433",Feb 11,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/509/Poohs.Heffalump.Movie.2005.720p.WEBRip.x264.AAC-%5BYTS.MX%5D.html
126,Roll Bounce,"$17,372,536","1,661","$17,380,866",Sep 23,Fox Searchlight Pictures,https://www.subtitlecat.com/subs/10/Roll%20Bounce%20%282005%29%20BR%20Eng.html
127,The Ringer,"$17,265,628","$1,853","$35,428,675",Dec 23,Fox Searchlight Pictures,null
128,Kung Fu Hustle,"$17,110,460","2,503","$17,108,591",Apr 8,Sony Pictures Classics,https://www.subtitlecat.com/subs/724/Kung.Fu.Hustle.ENG.2004.720p.BluRay.x264.%20YTS.MX-English.html
129,The Devil's Rejects,"$17,044,981","1,757","$17,044,981",Jul 22,Lionsgate,https://subtitlecat.com/subs/254/The.Devils.Rejects.2005.UNRATED.DC.PROPER.1080p.BluRay.H264.AAC-RARBG.html
130,Son of the Mask,"$17,018,378","2,966","$17,018,422",Feb 18,New Line Cinema,https://www.subtitlecat.com/subs/875/Son.of.the.Mask.2005.1080p.BluRay.x264-SAiMORNY_eng.html
131,Rebound,"$16,809,014","$2,464","$16,809,014",Jul 1,Twentieth Century Fox,https://www.subtitlecat.com/subs/120/Rebound%20-%20Fin%20-%2023%2C976fps%20-%202005%20-%20%28DiAMOND%29.html
132,The Perfect Man,"$16,535,005","$2,090","$16,535,005",Jun 17,Universal Pictures,https://www.subtitlecat.com/subs/31/The.Perfect.Man.2005.1080p.WEB-DL.DD5.1.H.264.html
133,Spanglish,"$16,240,247","2,587","$42,726,869",Dec 17,Sony Pictures Releasing,https://subtitlecat.com/subs/975/Spanglish.2004.1080p.BluRay.H264.AAC-RARBG-English.html
134,Waiting...,"$16,124,543","$1,652","$16,124,543",Oct 7,Lionsgate,https://www.subtitlecat.com/subs/574/Waiting.2005.720p.BrRip.x264.YIFY.html
135,The Gospel,"$15,778,152",$983,"$15,778,152",Oct 7,Screen Gems,https://www.subtitlecat.com/subs/68/The%20Gospel%202005%20en.html
136,The Greatest Game Ever Played,"$15,337,393","$1,810","$15,337,393",Sep 30,Walt Disney Studios Motion Pictures,https://subtitlecat.com/subs/797/The%20Greatest%20Game%20Ever%20Played%20%282005%29.html
137,The Cave,"$15,007,991","$2,195","$15,007,991",Aug 26,Screen Gems,https://www.subtitlecat.com/subs/20/The.Cave.2005.720p.BrRip.x264.YIFY.html
138,Broken Flowers,"$13,744,960",$433,"$13,744,960",Aug 5,Focus Features,https://www.subtitlecat.com/subs/652/Broken.Flowers.2005.1080p.BluRay.H264.AAC-RARBG-eng.html
139,The Honeymooners,"$12,843,849","$1,912","$12,843,849",Jun 10,Paramount Pictures,https://www.subtitlecat.com/subs/82/The.Honeymooners.2005.720p.HULU.WEBRip.AAC2.0.H.264-NTb.EN%2023.976.html
140,The Life Aquatic with Steve Zissou,"$12,659,078","$1,105","$24,020,403",Dec 10,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/35/The.Life.Aquatic.With.Steve.Zissou.2004.720p.BrRip.x264.YIFY.html
141,The Incredibles,"$12,501,327","$3,933","$261,441,092",Nov 5,Walt Disney Studios Motion Pictures,https://www.subtitlecat.com/subs/481/The%20Incredibles%201%20%282004%29.English.html
142,The Weather Man,"$12,482,775","$1,510","$12,482,775",Oct 28,Paramount Pictures,https://www.subtitlecat.com/subs/24/The.Weather.Man.2005.720p.BrRip.x1264.BOKUTOX.YIFY.html
